id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
4203068;Suite parentale ;21805655;Jean-Pierre;Gradignan;Gradignan;44.77863867168015;-0.5957642964090324;Private room;40;1;2;12/04/2018;0.11;1;363
4214378;Jolie maison Bordeaux centre, jardin et calme !;21870981;Céline;Bordeaux;Centre ville (Bordeaux);44.8401796183933;-0.5924651655493649;Entire home/apt;132;2;0;;;2;182
4216228;Maison centre ville, jardin, terrasse et calme !;21870981;Céline;Bordeaux;Centre ville (Bordeaux);44.8400679954769;-0.5923001738701013;Entire home/apt;132;2;25;24/08/2018;0.55;2;169
4216399;Bel appart au coeur de bordeaux;20519499;Sonia;Bordeaux;Centre ville (Bordeaux);44.838545196463826;-0.5772687797990934;Private room;30;1;6;29/10/2017;0.20;1;0
4222263;Sweet sunny B&B & patio down town;16948727;Malvina;Bordeaux;Bordeaux Sud;44.83116795848569;-0.5682912320742413;Private room;42;2;52;24/06/2018;1.12;1;345
4229211;Petit loft St michel 2/4per;29102137;L.C.B;Bordeaux;Bordeaux Sud;44.83322060292964;-0.5679355789781318;Entire home/apt;60;3;13;05/03/2018;0.30;24;122
4231237;Echoppe de charme Centre-Ville;21957328;Marie-Christine;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.83335251740543;-0.5893385900301349;Private room;45;1;15;24/05/2018;0.35;2;356
4254095;Chambre mansardée indépendante;22076666;Alégria;Bordeaux;Centre ville (Bordeaux);44.83644057260952;-0.57320496936994;Private room;45;1;325;08/09/2018;7.11;1;342
4255001;Chambre privée dans maison calme;22080667;Patrick/Corinne;Saint-Aubin-de-Mdoc;Saint-Aubin-de-Mdoc;44.91269400447174;-0.7232672496687083;Private room;50;1;0;;;2;78
4263049;Private room in a renovated flat;22127605;Vic;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.86306683522862;-0.5774799450533562;Private room;28;1;19;24/08/2018;0.46;2;68
4282492;Deux pièces très lumineuses;19713311;Chinh;Gradignan;Gradignan;44.78778149992002;-0.6118092188294796;Entire home/apt;60;5;25;12/04/2018;0.53;1;330
